theme,url,img,lines,author
DISCOVERY,/inspirational-quotes/8340-there-are-always-new-things-to-find-out-if-you,https://assets.passiton.com/quotes/quote_artwork/8340/medium/202200628_tuesday_quote.jpg?1652997601,There are always new things to find out if you go looking for them.,<Author:0x00007fd83c2b0ab8>
DISCOVERY,/inspirational-quotes/4243-the-greatest-discovery-of-all-time-is-that-a,https://assets.passiton.com/quotes/quote_artwork/4243/medium/202200627_monday_quote.jpg?1652997513,The greatest discovery of all time is that a person can change their future by merely changing their attitude.,<Author:0x00007fd83c2e5e48>
SELFLESSNESS,/inspirational-quotes/5347-only-a-life-lived-for-others-is-worth-living,https://assets.passiton.com/quotes/quote_artwork/5347/medium/20220624_friday_quote.jpg?1652887896,Only a life lived for others is worth living.,<Author:0x00007fd83c3272f8>
SELFLESSNESS,/inspirational-quotes/8339-only-those-who-have-learned-the-power-of,https://assets.passiton.com/quotes/quote_artwork/8339/medium/20220623_thursday_quote.jpg?1652887816,Only those who have learned the power of sincere and selfless contribution experience life's deepest joy: true fulfillment.,<Author:0x00007fd83c358ab0>
SELFLESSNESS,/inspirational-quotes/8128-there-is-nothing-more-beautiful-than-someone,https://assets.passiton.com/quotes/quote_artwork/8128/medium/20220622_wednesday_quote.jpg?1652887742,There is nothing more beautiful than someone who goes out of their way to make life beautiful for others.,<Author:0x00007fd83c3a2930>
SELFLESSNESS,/inspirational-quotes/8338-selfless-giving-unto-others-represents-one-s,https://assets.passiton.com/quotes/quote_artwork/8338/medium/20220621_tuesday_quote.jpg?1652887662,Selfless giving unto others represents one’s true wealth.,<Author:0x00007fd83c3ea6b8>
SELFLESSNESS,/inspirational-quotes/8337-then-give-to-the-world-the-best-you-have-and,https://assets.passiton.com/quotes/quote_artwork/8337/medium/20220620_monday_quote.jpg?1652887324,Then give to the world the best you have. And the best will come back to you.,<Author:0x00007fd83c430bb8>
FITNESS,/inspirational-quotes/8334-i-believe-that-the-greatest-gift-you-can-give,https://assets.passiton.com/quotes/quote_artwork/8334/medium/20220617_friday_quote.jpg?1652469219,I believe that the greatest gift you can give your family and the world is a healthy you.,<Author:0x00007fd83c46a430>
FITNESS,/inspirational-quotes/8333-you-have-power-over-your-mind-not-outside,https://assets.passiton.com/quotes/quote_artwork/8333/medium/20220616_thursday_quote.jpg?1652469202,"You have power over your mind—not outside events. Realize this, and you will find strength.",<Author:0x00007fd83c4a9950>
FITNESS,/inspirational-quotes/4839-friendship-love-health-energy-enthusiasm,https://assets.passiton.com/quotes/quote_artwork/4839/medium/20220615_wednesday_quote.jpg?1652469181,"Friendship, love, health, energy, enthusiasm, and joy are the things that make life worth living and exploring.",<Author:0x00007fd83c4e8d80>
FITNESS,/inspirational-quotes/8332-when-you-get-stronger-everything-in-the-world,https://assets.passiton.com/quotes/quote_artwork/8332/medium/20220614_tuesday_quote.jpg?1652469151,"When you get stronger everything in the world gets easier. Change yourself and you've changed everything.
",<Author:0x00007fd83c57eb00>
FITNESS,/inspirational-quotes/8124-physical-fitness-is-the-first-requisite-of,https://assets.passiton.com/quotes/quote_artwork/8124/medium/20220613_monday_quote.jpg?1652469129,Physical fitness is the first requisite of happiness.,<Author:0x00007fd83c5aba60>
PEACE,/inspirational-quotes/6342-peace-is-always-beautiful,https://assets.passiton.com/quotes/quote_artwork/6342/medium/20220610_friday_quote.jpg?1652481995,Peace is always beautiful.,<Author:0x00007fd83c5d8f10>
